id,visitor_id,visit_time,page_name,page_type,source_page,target_page,stay_duration,terminal_type,is_order,order_buyer_id,dt
53,VISITOR_8311E414,2025-01-20 23:04:26,百度搜索,外部页,商品详情页_1,商品详情页_2,72,无线端,0,,2025-01-20
54,VISITOR_BC6F809B,2025-01-13 18:26:27,商品详情页_1,商品详情页,商品详情页_2,直播页,253,无线端,0,,2025-01-13
55,VISITOR_FAFF4E2B,2025-01-13 02:47:45,商品详情页_2,商品详情页,购物车,首页,159,无线端,0,,2025-01-13
56,VISITOR_209621D9,2025-01-18 18:35:29,活动页,店铺页,,商品详情页_3,179,无线端,0,,2025-01-18
57,VISITOR_5FE527B9,2025-01-09 16:12:00,百度搜索,外部页,,直播页,33,无线端,0,,2025-01-09
58,VISITOR_BEFD2205,2025-01-10 10:37:33,新品页,店铺页,,新品页,37,无线端,0,,2025-01-10
59,VISITOR_7B7E39DF,2025-01-20 03:40:21,首页,店铺页,购物车,直播页,50,无线端,0,,2025-01-20
60,VISITOR_A0DAAFB0,2025-01-16 13:39:33,新品页,店铺页,新品页,商品详情页_1,216,无线端,0,,2025-01-16
61,VISITOR_46DD088F,2025-01-16 22:42:13,商品详情页_1,商品详情页,,,120,无线端,0,,2025-01-16
62,VISITOR_5C63A54D,2025-01-02 11:22:24,订阅页,店铺其他页,,购物车,103,PC端,0,,2025-01-02
63,VISITOR_0DDCD7AE,2025-01-22 12:50:50,购物车,功能页,商品详情页_3,宝贝页,169,无线端,0,,2025-01-22
64,VISITOR_26D0660B,2025-01-23 08:39:47,下单页,功能页,,微信,224,无线端,0,,2025-01-23
65,VISITOR_C88CE49B,2025-01-13 17:50:44,宝贝页,店铺页,购物车,直播页,144,PC端,0,,2025-01-13
66,VISITOR_C604CBB6,2025-01-27 22:29:37,商品详情页_1,商品详情页,,订阅页,120,无线端,0,,2025-01-27
67,VISITOR_76018C79,2025-01-18 02:00:01,商品详情页_3,商品详情页,,订阅页,72,PC端,0,,2025-01-18
68,VISITOR_30BC3468,2025-01-21 06:37:24,商品详情页_2,商品详情页,,商品详情页_1,164,PC端,0,,2025-01-21
69,VISITOR_0BFED15A,2025-01-20 13:05:26,商品详情页_2,商品详情页,,商品详情页_2,251,无线端,0,,2025-01-20
70,VISITOR_06BBC8BE,2025-01-20 18:58:30,订阅页,店铺其他页,,购物车,73,无线端,0,,2025-01-20
71,VISITOR_E2830803,2025-01-03 18:39:35,分类页,店铺页,活动页,商品详情页_2,109,无线端,0,,2025-01-03
72,VISITOR_DAA91F3E,2025-01-22 19:40:55,订阅页,店铺其他页,,下单页,150,PC端,0,,2025-01-22
73,VISITOR_30F979CE,2025-01-08 15:35:16,商品详情页_3,商品详情页,商品详情页_2,商品详情页_3,72,无线端,0,,2025-01-08
74,VISITOR_57230168,2025-01-12 06:41:02,百度搜索,外部页,分类页,活动页,115,PC端,0,,2025-01-12
75,VISITOR_B3E0C258,2025-01-07 17:17:43,宝贝页,店铺页,,活动页,254,PC端,0,,2025-01-07
76,VISITOR_5D90B539,2025-01-20 18:48:14,购物车,功能页,商品详情页_1,,138,无线端,0,,2025-01-20
77,VISITOR_2FC9654A,2025-01-13 12:13:20,订阅页,店铺其他页,百度搜索,商品详情页_1,164,无线端,0,,2025-01-13
78,VISITOR_DC1F3C82,2025-01-27 04:34:59,活动页,店铺页,宝贝页,订阅页,112,无线端,0,,2025-01-27
79,VISITOR_1E6DEA53,2025-01-24 18:07:41,订阅页,店铺其他页,新品页,商品详情页_2,210,PC端,0,,2025-01-24
80,VISITOR_BBF93A51,2025-01-14 01:49:17,直播页,店铺其他页,新品页,,120,无线端,0,,2025-01-14
81,VISITOR_4A198857,2025-01-19 20:26:44,商品详情页_1,商品详情页,宝贝页,新品页,133,无线端,0,,2025-01-19
82,VISITOR_0AEC24C5,2025-01-17 06:45:24,商品详情页_1,商品详情页,新品页,直播页,280,无线端,0,,2025-01-17
83,VISITOR_25575723,2025-01-24 00:58:16,下单页,功能页,宝贝页,,76,PC端,0,,2025-01-24
84,VISITOR_70057595,2025-01-26 08:10:19,新品页,店铺页,直播页,商品详情页_2,159,PC端,0,,2025-01-26
85,VISITOR_621F8270,2025-01-24 06:43:39,商品详情页_3,商品详情页,,直播页,276,无线端,1,BUYER_C9FF67,2025-01-24
86,VISITOR_4153EE86,2025-01-09 03:05:35,分类页,店铺页,分类页,活动页,35,无线端,0,,2025-01-09
87,VISITOR_ADC3638A,2025-01-14 18:37:01,商品详情页_1,商品详情页,新品页,,126,无线端,0,,2025-01-14
88,VISITOR_BA87CA65,2025-01-02 21:45:51,购物车,功能页,百度搜索,,40,无线端,0,,2025-01-02
89,VISITOR_FA60F961,2025-01-04 10:37:35,购物车,功能页,商品详情页_2,订阅页,65,无线端,0,,2025-01-04
90,VISITOR_3AECDBE9,2025-01-11 14:12:45,商品详情页_1,商品详情页,,商品详情页_2,14,PC端,0,,2025-01-11
91,VISITOR_C833F4AB,2025-01-07 08:47:49,宝贝页,店铺页,,商品详情页_2,253,无线端,0,,2025-01-07
92,VISITOR_A178FBEB,2025-01-10 05:48:17,分类页,店铺页,,首页,129,无线端,0,,2025-01-10
93,VISITOR_8C3EE1EB,2025-01-26 08:12:28,分类页,店铺页,商品详情页_2,宝贝页,275,无线端,0,,2025-01-26
94,VISITOR_C8FCD9E5,2025-01-23 23:02:26,直播页,店铺其他页,活动页,活动页,200,PC端,0,,2025-01-23
95,VISITOR_2BC1F51E,2025-01-22 00:08:03,下单页,功能页,活动页,购物车,269,无线端,0,,2025-01-22
96,VISITOR_67A6DE99,2025-01-30 05:35:08,下单页,功能页,活动页,首页,226,PC端,0,,2025-01-30
97,VISITOR_51282A8B,2025-01-21 15:14:29,首页,店铺页,新品页,微信,189,PC端,1,BUYER_317577,2025-01-21
98,VISITOR_3C93CFDE,2025-01-11 01:10:06,下单页,功能页,活动页,商品详情页_1,280,PC端,0,,2025-01-11
99,VISITOR_8EBA5820,2025-01-08 03:46:50,订阅页,店铺其他页,活动页,商品详情页_1,222,无线端,0,,2025-01-08
100,VISITOR_398EC3A7,2025-01-02 14:10:46,新品页,店铺页,宝贝页,首页,255,无线端,0,,2025-01-02
101,VISITOR_FCE64DD4,2025-01-20 18:58:57,活动页,店铺页,购物车,商品详情页_3,148,无线端,0,,2025-01-20
102,VISITOR_8AB9B2D5,2025-01-23 23:04:11,活动页,店铺页,百度搜索,订阅页,275,无线端,0,,2025-01-23
103,VISITOR_D9182D85,2025-01-22 12:11:38,商品详情页_3,商品详情页,购物车,,100,无线端,0,,2025-01-22
104,VISITOR_C537D141,2025-01-23 13:15:05,商品详情页_3,商品详情页,订阅页,商品详情页_1,282,无线端,0,,2025-01-23
105,VISITOR_D67C5B49,2025-01-20 23:45:33,商品详情页_3,商品详情页,,商品详情页_3,36,无线端,1,BUYER_7BCCDB,2025-01-20
106,VISITOR_35067497,2025-01-29 09:52:28,商品详情页_3,商品详情页,,新品页,290,PC端,0,,2025-01-29
107,VISITOR_3B82AEB1,2025-01-07 08:33:59,订阅页,店铺其他页,,微信,139,PC端,1,BUYER_0AC90E,2025-01-07
108,VISITOR_48D8820C,2025-01-27 23:23:17,直播页,店铺其他页,微信,,259,无线端,0,,2025-01-27
109,VISITOR_F2E77D61,2025-01-03 04:40:31,百度搜索,外部页,购物车,,96,无线端,0,,2025-01-03
110,VISITOR_FCCFCAC9,2025-01-16 15:44:23,商品详情页_3,商品详情页,宝贝页,分类页,168,无线端,0,,2025-01-16
111,VISITOR_531EB060,2025-01-25 19:50:03,活动页,店铺页,活动页,商品详情页_1,55,无线端,0,,2025-01-25
112,VISITOR_060CF56C,2025-01-30 14:20:41,微信,外部页,,,271,PC端,0,,2025-01-30
113,VISITOR_5DB070A8,2025-01-05 02:39:12,下单页,功能页,首页,新品页,245,无线端,0,,2025-01-05
114,VISITOR_8CDDB81A,2025-01-04 01:53:14,商品详情页_2,商品详情页,商品详情页_1,,216,无线端,0,,2025-01-04
115,VISITOR_3CF3FEE3,2025-01-08 14:12:23,首页,店铺页,,百度搜索,122,无线端,1,BUYER_2F96D4,2025-01-08
116,VISITOR_B4F51AEA,2025-01-24 02:27:50,微信,外部页,,,293,无线端,0,,2025-01-24
117,VISITOR_D783B5C7,2025-01-08 03:21:59,直播页,店铺其他页,,活动页,248,无线端,0,,2025-01-08
118,VISITOR_405C76BC,2025-01-29 00:43:18,分类页,店铺页,直播页,下单页,293,无线端,0,,2025-01-29
119,VISITOR_3B8DE624,2025-01-11 23:56:35,首页,店铺页,购物车,首页,89,无线端,0,,2025-01-11
120,VISITOR_7CE8C04F,2025-01-11 02:58:38,商品详情页_2,商品详情页,直播页,购物车,210,PC端,1,BUYER_E776F2,2025-01-11
121,VISITOR_D826115D,2025-01-23 01:38:15,商品详情页_2,商品详情页,百度搜索,商品详情页_1,101,无线端,0,,2025-01-23
122,VISITOR_BFB89E29,2025-01-06 08:36:47,商品详情页_2,商品详情页,,宝贝页,153,PC端,0,,2025-01-06
123,VISITOR_7C83CE1D,2025-01-06 04:22:28,宝贝页,店铺页,,新品页,196,无线端,0,,2025-01-06
124,VISITOR_A8EF1055,2025-01-21 22:41:57,商品详情页_1,商品详情页,商品详情页_1,商品详情页_1,281,无线端,0,,2025-01-21
125,VISITOR_A9681181,2025-01-13 22:43:41,商品详情页_3,商品详情页,首页,新品页,153,无线端,0,,2025-01-13
126,VISITOR_2573C5E5,2025-01-11 15:20:27,宝贝页,店铺页,百度搜索,,234,无线端,0,,2025-01-11
127,VISITOR_098DD66A,2025-01-24 19:15:11,购物车,功能页,,活动页,256,无线端,0,,2025-01-24
128,VISITOR_7736D9A2,2025-01-11 17:22:14,商品详情页_1,商品详情页,,,69,无线端,0,,2025-01-11
129,VISITOR_E2A86511,2025-01-06 07:13:58,活动页,店铺页,分类页,微信,18,PC端,0,,2025-01-06
130,VISITOR_77B51496,2025-01-28 16:56:31,下单页,功能页,,商品详情页_2,19,无线端,0,,2025-01-28
131,VISITOR_7E6A67EC,2025-01-17 12:56:55,分类页,店铺页,购物车,,17,无线端,0,,2025-01-17
132,VISITOR_10E64AE6,2025-01-08 17:30:36,购物车,功能页,微信,活动页,125,PC端,0,,2025-01-08
133,VISITOR_E85A627D,2025-01-10 17:02:24,购物车,功能页,百度搜索,分类页,221,无线端,0,,2025-01-10
134,VISITOR_1CCA187B,2025-01-10 08:31:28,首页,店铺页,,商品详情页_3,121,无线端,0,,2025-01-10
135,VISITOR_82A945B0,2025-01-15 00:14:02,商品详情页_3,商品详情页,,,200,无线端,0,,2025-01-15
136,VISITOR_C735600F,2025-01-15 10:04:50,首页,店铺页,新品页,,224,无线端,0,,2025-01-15
137,VISITOR_A5096595,2025-01-24 14:16:24,分类页,店铺页,商品详情页_2,直播页,244,无线端,0,,2025-01-24
138,VISITOR_B9A8282D,2025-01-25 03:12:26,微信,外部页,,活动页,158,无线端,0,,2025-01-25
139,VISITOR_CC993016,2025-01-11 11:53:16,购物车,功能页,直播页,活动页,119,PC端,0,,2025-01-11
140,VISITOR_980852F7,2025-01-28 18:40:35,商品详情页_2,商品详情页,下单页,宝贝页,144,无线端,0,,2025-01-28
141,VISITOR_9BA7B984,2025-01-10 21:41:39,首页,店铺页,分类页,商品详情页_2,69,PC端,0,,2025-01-10
142,VISITOR_59FAEFAE,2025-01-15 02:20:52,宝贝页,店铺页,,分类页,144,PC端,0,,2025-01-15
143,VISITOR_5A44909C,2025-01-17 03:43:16,商品详情页_3,商品详情页,订阅页,订阅页,283,PC端,0,,2025-01-17
144,VISITOR_15C8527D,2025-01-11 02:47:56,新品页,店铺页,,购物车,288,无线端,1,BUYER_C9EC6B,2025-01-11
145,VISITOR_2E0E4CC0,2025-01-12 17:31:59,活动页,店铺页,新品页,首页,203,无线端,0,,2025-01-12
146,VISITOR_B5ACE3FD,2025-01-16 21:08:24,微信,外部页,,购物车,181,无线端,0,,2025-01-16
147,VISITOR_E6BE3D64,2025-01-01 11:03:29,分类页,店铺页,,首页,137,无线端,0,,2025-01-01
148,VISITOR_500658EC,2025-01-24 02:49:59,活动页,店铺页,商品详情页_3,下单页,121,PC端,0,,2025-01-24
149,VISITOR_521C8445,2025-01-05 06:14:52,新品页,店铺页,商品详情页_3,直播页,255,PC端,0,,2025-01-05
150,VISITOR_F5CF8795,2025-01-20 11:21:04,分类页,店铺页,首页,直播页,277,无线端,0,,2025-01-20
151,VISITOR_72BFD263,2025-01-09 06:03:56,直播页,店铺其他页,下单页,新品页,85,无线端,0,,2025-01-09
152,VISITOR_5C53AE00,2025-01-03 23:50:31,商品详情页_2,商品详情页,分类页,,153,PC端,0,,2025-01-03
153,VISITOR_044B98BA,2025-01-13 22:03:13,宝贝页,店铺页,订阅页,活动页,187,PC端,0,,2025-01-13
154,VISITOR_3574ED01,2025-01-20 05:27:46,下单页,功能页,商品详情页_1,,289,无线端,0,,2025-01-20
155,VISITOR_FDDEA941,2025-01-11 02:54:11,商品详情页_3,商品详情页,活动页,分类页,125,PC端,1,BUYER_6708EE,2025-01-11
156,VISITOR_005BF63C,2025-01-11 16:12:32,购物车,功能页,商品详情页_3,微信,78,PC端,0,,2025-01-11
157,VISITOR_4D6A75D6,2025-01-30 00:22:40,微信,外部页,百度搜索,分类页,187,无线端,0,,2025-01-30
158,VISITOR_30689F82,2025-01-02 03:42:14,宝贝页,店铺页,,,38,无线端,0,,2025-01-02
159,VISITOR_74B8F08D,2025-01-19 00:08:45,商品详情页_2,商品详情页,新品页,,257,无线端,0,,2025-01-19
160,VISITOR_E6A4BA06,2025-01-23 22:24:03,商品详情页_2,商品详情页,,首页,284,无线端,0,,2025-01-23
161,VISITOR_7E066B1E,2025-01-16 04:22:55,下单页,功能页,活动页,百度搜索,136,无线端,0,,2025-01-16
162,VISITOR_F72AEFB0,2025-01-20 16:46:54,商品详情页_2,商品详情页,微信,商品详情页_3,258,无线端,0,,2025-01-20
163,VISITOR_84D863E6,2025-01-18 17:02:24,宝贝页,店铺页,下单页,购物车,103,无线端,0,,2025-01-18
164,VISITOR_6AF58C1F,2025-01-18 10:42:04,下单页,功能页,百度搜索,直播页,142,PC端,0,,2025-01-18
165,VISITOR_22C27B33,2025-01-04 04:29:30,分类页,店铺页,下单页,百度搜索,96,PC端,0,,2025-01-04
166,VISITOR_E2A41B1F,2025-01-05 08:14:04,微信,外部页,分类页,直播页,252,无线端,0,,2025-01-05
167,VISITOR_227DA939,2025-01-28 01:50:01,分类页,店铺页,,商品详情页_2,146,无线端,0,,2025-01-28
168,VISITOR_0138BB03,2025-01-12 11:57:39,订阅页,店铺其他页,,新品页,205,无线端,0,,2025-01-12
169,VISITOR_034A7B1F,2025-01-01 14:07:23,订阅页,店铺其他页,下单页,下单页,77,无线端,0,,2025-01-01
170,VISITOR_902790B7,2025-01-10 19:54:29,微信,外部页,商品详情页_3,购物车,74,PC端,0,,2025-01-10
171,VISITOR_CDFD29E9,2025-01-14 19:30:59,百度搜索,外部页,,宝贝页,225,PC端,0,,2025-01-14
172,VISITOR_559851D3,2025-01-21 22:47:47,商品详情页_2,商品详情页,宝贝页,商品详情页_2,164,无线端,0,,2025-01-21
173,VISITOR_F35547D1,2025-01-14 17:43:29,商品详情页_2,商品详情页,新品页,,159,无线端,0,,2025-01-14
174,VISITOR_91C5745F,2025-01-17 15:58:51,首页,店铺页,分类页,订阅页,258,PC端,0,,2025-01-17
175,VISITOR_B7805D17,2025-01-17 15:28:00,商品详情页_2,商品详情页,商品详情页_1,直播页,183,无线端,0,,2025-01-17
176,VISITOR_3AC3D7B4,2025-01-28 17:17:50,下单页,功能页,商品详情页_1,购物车,22,PC端,0,,2025-01-28
177,VISITOR_B1953701,2025-01-28 04:17:05,新品页,店铺页,商品详情页_3,商品详情页_1,134,PC端,0,,2025-01-28
178,VISITOR_94C449D8,2025-01-16 06:30:59,百度搜索,外部页,微信,百度搜索,243,无线端,0,,2025-01-16
179,VISITOR_236A8A81,2025-01-01 19:22:20,商品详情页_3,商品详情页,分类页,商品详情页_2,183,无线端,0,,2025-01-01
180,VISITOR_77184489,2025-01-22 07:19:41,订阅页,店铺其他页,,,10,无线端,0,,2025-01-22
181,VISITOR_EC2D5F15,2025-01-28 08:28:51,直播页,店铺其他页,,首页,231,无线端,0,,2025-01-28
182,VISITOR_2A34AAFE,2025-01-16 15:15:59,首页,店铺页,商品详情页_3,分类页,269,PC端,0,,2025-01-16
183,VISITOR_8DCB6F4B,2025-01-20 03:07:54,微信,外部页,,购物车,34,PC端,0,,2025-01-20
184,VISITOR_8D8AF5BE,2025-01-29 02:54:29,商品详情页_1,商品详情页,商品详情页_1,分类页,22,无线端,0,,2025-01-29
185,VISITOR_870F6A11,2025-01-27 06:27:25,分类页,店铺页,商品详情页_2,微信,124,PC端,0,,2025-01-27
186,VISITOR_07DB6247,2025-01-23 04:04:12,分类页,店铺页,新品页,,270,无线端,0,,2025-01-23
187,VISITOR_6889338D,2025-01-10 10:10:12,商品详情页_2,商品详情页,分类页,商品详情页_3,283,无线端,0,,2025-01-10
188,VISITOR_6810D03E,2025-01-08 03:38:27,下单页,功能页,,活动页,201,无线端,0,,2025-01-08
189,VISITOR_D69EABCD,2025-01-17 16:56:05,宝贝页,店铺页,,订阅页,190,无线端,0,,2025-01-17
190,VISITOR_1EF57E82,2025-01-22 07:23:03,商品详情页_3,商品详情页,订阅页,订阅页,174,无线端,0,,2025-01-22
191,VISITOR_F98C9D80,2025-01-12 23:30:25,微信,外部页,购物车,直播页,270,无线端,0,,2025-01-12
192,VISITOR_83E1D6EF,2025-01-30 15:12:29,订阅页,店铺其他页,购物车,新品页,200,无线端,0,,2025-01-30
193,VISITOR_29ACD403,2025-01-01 18:15:23,商品详情页_2,商品详情页,,直播页,185,无线端,0,,2025-01-01
194,VISITOR_041D9234,2025-01-05 02:33:30,下单页,功能页,订阅页,商品详情页_2,63,PC端,0,,2025-01-05
195,VISITOR_BB986E94,2025-01-11 04:12:23,购物车,功能页,订阅页,,36,无线端,0,,2025-01-11
196,VISITOR_F32DA83E,2025-01-09 17:21:07,直播页,店铺其他页,,商品详情页_2,279,无线端,0,,2025-01-09
197,VISITOR_E2FE1F9C,2025-01-13 11:10:13,商品详情页_2,商品详情页,,,157,无线端,0,,2025-01-13
198,VISITOR_074705B0,2025-01-14 02:01:22,下单页,功能页,百度搜索,商品详情页_1,54,无线端,0,,2025-01-14
199,VISITOR_DC65FE50,2025-01-20 08:36:06,活动页,店铺页,新品页,商品详情页_1,130,无线端,0,,2025-01-20
200,VISITOR_54B8F43A,2025-01-26 16:48:56,直播页,店铺其他页,新品页,商品详情页_2,176,无线端,0,,2025-01-26
201,VISITOR_C7319E9A,2025-01-23 18:07:48,商品详情页_1,商品详情页,微信,微信,77,无线端,0,,2025-01-23
202,VISITOR_44704D8C,2025-01-11 12:37:05,分类页,店铺页,直播页,直播页,150,PC端,0,,2025-01-11
203,VISITOR_6B065079,2025-01-10 12:40:35,百度搜索,外部页,商品详情页_3,,266,无线端,1,BUYER_2C298C,2025-01-10
204,VISITOR_862CF5D3,2025-01-18 01:30:43,新品页,店铺页,下单页,直播页,121,PC端,0,,2025-01-18
205,VISITOR_DAD9C0C2,2025-01-14 22:17:17,百度搜索,外部页,新品页,商品详情页_3,299,无线端,0,,2025-01-14
206,VISITOR_491FF34E,2025-01-13 20:35:05,活动页,店铺页,订阅页,新品页,196,PC端,0,,2025-01-13
207,VISITOR_476414D0,2025-01-15 08:43:24,分类页,店铺页,宝贝页,,299,无线端,0,,2025-01-15
208,VISITOR_4CE9AAEF,2025-01-19 11:59:37,下单页,功能页,,活动页,55,无线端,0,,2025-01-19
209,VISITOR_6DD9A594,2025-01-23 20:30:43,直播页,店铺其他页,宝贝页,直播页,77,PC端,0,,2025-01-23
210,VISITOR_81DB88AC,2025-01-05 19:55:26,活动页,店铺页,,购物车,171,PC端,0,,2025-01-05
211,VISITOR_10F9512F,2025-01-01 03:26:50,百度搜索,外部页,商品详情页_1,百度搜索,237,无线端,0,,2025-01-01
212,VISITOR_B647B03B,2025-01-01 06:05:31,下单页,功能页,商品详情页_3,活动页,87,PC端,0,,2025-01-01
213,VISITOR_8D816C1B,2025-01-08 23:53:59,活动页,店铺页,订阅页,订阅页,235,无线端,0,,2025-01-08
214,VISITOR_7D1AAE86,2025-01-22 22:00:00,购物车,功能页,,下单页,252,PC端,0,,2025-01-22
215,VISITOR_46E3C7F3,2025-01-19 21:55:33,订阅页,店铺其他页,,商品详情页_2,206,无线端,0,,2025-01-19
216,VISITOR_A092F191,2025-01-24 17:24:47,活动页,店铺页,订阅页,商品详情页_2,37,无线端,0,,2025-01-24
217,VISITOR_CF438EB8,2025-01-05 11:59:27,商品详情页_2,商品详情页,首页,首页,31,无线端,0,,2025-01-05
218,VISITOR_6E88F038,2025-01-05 05:42:44,订阅页,店铺其他页,购物车,直播页,280,无线端,0,,2025-01-05
219,VISITOR_45C51DCB,2025-01-28 01:38:18,商品详情页_3,商品详情页,,商品详情页_1,119,PC端,0,,2025-01-28
220,VISITOR_C593E9CB,2025-01-11 21:33:29,下单页,功能页,商品详情页_3,商品详情页_3,275,PC端,0,,2025-01-11
