dwd_id,visitor_id,time_id,page_id,page_type,source_page_id,target_page_id,stay_duration,device_id,is_order,order_buyer_id,dt
101,VISITOR_05AE2E8F,1,12,外部页,,5,93,1,0,,2025-01-01
102,VISITOR_EEE4616D,1,8,商品详情页,5,10,172,1,0,,2025-01-01
103,VISITOR_EC63FAD8,1,9,店铺其他页,,9,216,2,0,,2025-01-01
104,VISITOR_8F4DADDF,1,6,商品详情页,,6,69,5,0,,2025-01-01
105,VISITOR_43200563,1,10,店铺其他页,,14,221,3,0,,2025-01-01
106,VISITOR_5108581A,1,7,商品详情页,,3,228,4,0,,2025-01-01
107,VISITOR_2507576D,1,10,店铺其他页,,,175,3,0,,2025-01-01
108,VISITOR_D098265C,1,11,外部页,,,188,4,0,,2025-01-01
109,VISITOR_75D91E9B,1,4,店铺页,4,11,221,4,0,,2025-01-01
110,VISITOR_91375AA7,1,10,店铺其他页,,4,210,5,0,,2025-01-01
111,VISITOR_BC8FF693,1,7,商品详情页,8,14,270,3,0,,2025-01-01
112,VISITOR_335EB605,1,8,商品详情页,11,,202,1,0,,2025-01-01
113,VISITOR_6488D732,1,9,店铺其他页,,13,10,1,0,,2025-01-01
114,VISITOR_8DCA8857,1,10,店铺其他页,9,2,201,1,0,,2025-01-01
115,VISITOR_69B940D2,1,10,店铺其他页,11,4,276,1,0,,2025-01-01
116,VISITOR_5D87445D,1,11,外部页,,,281,5,0,,2025-01-01
117,VISITOR_CE028CE0,1,7,商品详情页,6,6,188,3,0,,2025-01-01
118,VISITOR_8642A13C,1,12,外部页,10,12,198,5,0,,2025-01-01
119,VISITOR_A1F656D1,1,11,外部页,,,116,2,0,,2025-01-01
120,VISITOR_8DD1075E,1,13,功能页,14,14,260,3,0,,2025-01-01
121,VISITOR_DCF82DE8,1,4,店铺页,13,9,53,4,0,,2025-01-01
122,VISITOR_F7DD805D,1,7,商品详情页,13,3,212,1,0,,2025-01-01
123,VISITOR_35890542,1,9,店铺其他页,,11,203,1,0,,2025-01-01
124,VISITOR_B74411FF,1,2,店铺页,,,201,1,0,,2025-01-01
125,VISITOR_B06AF4B9,1,4,店铺页,,10,105,5,0,,2025-01-01
126,VISITOR_7349BA1C,1,3,店铺页,2,1,219,3,0,,2025-01-01
127,VISITOR_381D0212,1,4,店铺页,,14,91,3,0,,2025-01-01
128,VISITOR_AB637424,1,13,功能页,11,2,143,1,1,BUYER_726CC7,2025-01-01
129,VISITOR_BCB5C33B,1,8,商品详情页,4,14,29,4,0,,2025-01-01
130,VISITOR_2723E7B5,1,3,店铺页,4,,91,4,0,,2025-01-01
131,VISITOR_C580411A,1,14,功能页,,,285,3,1,BUYER_B1569B,2025-01-01
132,VISITOR_86CDC388,1,14,功能页,,1,29,1,0,,2025-01-01
133,VISITOR_A8CC9F83,1,6,商品详情页,7,12,157,4,1,BUYER_E61AC0,2025-01-01
134,VISITOR_8220F7B7,1,6,商品详情页,14,5,137,5,0,,2025-01-01
135,VISITOR_F84A2355,1,1,店铺页,7,,161,5,0,,2025-01-01
136,VISITOR_F19A35A1,1,7,商品详情页,13,6,96,4,0,,2025-01-01
137,VISITOR_FFEDF02D,1,6,商品详情页,,12,56,3,0,,2025-01-01
138,VISITOR_4F76902E,1,7,商品详情页,6,9,237,4,1,BUYER_F87772,2025-01-01
139,VISITOR_AF03B388,1,6,商品详情页,,13,44,2,0,,2025-01-01
140,VISITOR_26991DB4,1,9,店铺其他页,13,2,281,1,0,,2025-01-01
141,VISITOR_A2372294,1,8,商品详情页,12,,169,5,0,,2025-01-01
142,VISITOR_B3C7CF96,1,6,商品详情页,4,13,128,1,0,,2025-01-01
143,VISITOR_8D0D273B,1,1,店铺页,7,,56,2,0,,2025-01-01
144,VISITOR_4BE8E559,1,9,店铺其他页,,2,64,2,0,,2025-01-01
145,VISITOR_FD37D587,1,8,商品详情页,2,10,51,4,0,,2025-01-01
146,VISITOR_1CC9895B,1,4,店铺页,9,8,221,2,1,BUYER_8878C7,2025-01-01
147,VISITOR_9BCFB344,1,9,店铺其他页,12,5,150,3,0,,2025-01-01
148,VISITOR_734BABA5,1,1,店铺页,3,11,80,5,0,,2025-01-01
149,VISITOR_6E288E77,1,14,功能页,,9,82,3,0,,2025-01-01
150,VISITOR_87B627AE,1,2,店铺页,,,183,2,0,,2025-01-01
151,VISITOR_32534D5B,1,12,外部页,8,10,68,4,0,,2025-01-01
152,VISITOR_8030706B,1,14,功能页,1,4,197,2,1,BUYER_C6B1C4,2025-01-01
153,VISITOR_C07FA6A5,1,14,功能页,2,9,185,2,1,BUYER_05D1FE,2025-01-01
154,VISITOR_F2A38B87,1,9,店铺其他页,5,5,217,3,0,,2025-01-01
155,VISITOR_E2E04281,1,11,外部页,3,13,256,3,0,,2025-01-01
156,VISITOR_CD026250,1,4,店铺页,8,9,106,3,0,,2025-01-01
157,VISITOR_BAF8F500,1,6,商品详情页,12,6,144,3,0,,2025-01-01
158,VISITOR_957E4813,1,7,商品详情页,12,9,46,3,0,,2025-01-01
159,VISITOR_5A0E9B9D,1,9,店铺其他页,,11,259,5,0,,2025-01-01
160,VISITOR_81A8E343,1,7,商品详情页,14,11,77,3,0,,2025-01-01
161,VISITOR_AF4B0B68,1,9,店铺其他页,6,12,46,2,1,BUYER_08B246,2025-01-01
162,VISITOR_1EB03DBA,1,12,外部页,14,13,129,5,0,,2025-01-01
163,VISITOR_BBB9F05C,1,7,商品详情页,,2,171,1,0,,2025-01-01
164,VISITOR_41AE86DD,1,8,商品详情页,5,,160,2,0,,2025-01-01
165,VISITOR_0460846E,1,10,店铺其他页,,11,149,3,0,,2025-01-01
166,VISITOR_3C6D8241,1,5,店铺页,4,4,187,2,0,,2025-01-01
167,VISITOR_C194275E,1,2,店铺页,3,10,143,3,0,,2025-01-01
168,VISITOR_2C8F939B,1,11,外部页,14,6,98,1,0,,2025-01-01
169,VISITOR_97235CEE,1,12,外部页,5,14,221,5,0,,2025-01-01
170,VISITOR_8A4DDAC7,1,6,商品详情页,,9,188,2,0,,2025-01-01
171,VISITOR_3D801B48,1,4,店铺页,9,5,166,3,0,,2025-01-01
172,VISITOR_7CDD34C7,1,7,商品详情页,,4,27,2,0,,2025-01-01
173,VISITOR_DE43B179,1,12,外部页,10,10,64,3,0,,2025-01-01
174,VISITOR_F950B9EC,1,13,功能页,4,7,276,3,0,,2025-01-01
175,VISITOR_BCA104E3,1,9,店铺其他页,,,231,3,0,,2025-01-01
176,VISITOR_B52F2854,1,8,商品详情页,,13,199,2,0,,2025-01-01
177,VISITOR_C18054F3,1,12,外部页,,4,68,1,0,,2025-01-01
178,VISITOR_63E6AA80,1,14,功能页,11,9,297,2,0,,2025-01-01
179,VISITOR_A9459494,1,6,商品详情页,11,,247,4,0,,2025-01-01
180,VISITOR_C8ED309F,1,7,商品详情页,2,14,242,2,0,,2025-01-01
181,VISITOR_DB0CDE12,1,3,店铺页,1,8,188,3,0,,2025-01-01
182,VISITOR_024DF027,1,14,功能页,11,,52,3,0,,2025-01-01
183,VISITOR_853EC258,1,11,外部页,14,,212,4,0,,2025-01-01
184,VISITOR_9B1EE2FB,1,11,外部页,,5,290,1,0,,2025-01-01
185,VISITOR_DDE92806,1,4,店铺页,,9,185,3,0,,2025-01-01
186,VISITOR_3EA8E67D,1,9,店铺其他页,,5,190,2,0,,2025-01-01
187,VISITOR_8F3C5AD0,1,3,店铺页,4,,241,5,0,,2025-01-01
188,VISITOR_1A4B1D83,1,2,店铺页,6,,165,1,0,,2025-01-01
189,VISITOR_A2DBC481,1,2,店铺页,13,,195,2,0,,2025-01-01
190,VISITOR_BEB3FA44,1,3,店铺页,13,2,61,3,0,,2025-01-01
191,VISITOR_D96EC1FD,1,14,功能页,,9,89,3,0,,2025-01-01
192,VISITOR_B81B94E1,1,11,外部页,10,5,230,4,0,,2025-01-01
193,VISITOR_62E2C2EE,1,6,商品详情页,,,20,2,0,,2025-01-01
194,VISITOR_FB2F30D0,1,12,外部页,2,11,192,1,0,,2025-01-01
195,VISITOR_2EA92F80,1,6,商品详情页,3,8,91,2,0,,2025-01-01
196,VISITOR_E232FBC4,1,3,店铺页,1,6,213,2,0,,2025-01-01
197,VISITOR_1510F0AC,1,1,店铺页,10,5,131,5,0,,2025-01-01
198,VISITOR_F0CE8295,1,3,店铺页,,3,276,3,0,,2025-01-01
199,VISITOR_2A77DBB4,1,7,商品详情页,,,283,4,0,,2025-01-01
200,VISITOR_1A35024C,1,6,商品详情页,13,7,295,2,0,,2025-01-01
201,VISITOR_66F4CBA5,1,12,外部页,,2,18,2,0,,2025-01-01
202,VISITOR_B1B05FCC,1,4,店铺页,3,4,128,2,0,,2025-01-01
203,VISITOR_2A24091F,1,4,店铺页,3,,230,1,0,,2025-01-01
204,VISITOR_8DD9E98D,1,4,店铺页,13,5,248,5,0,,2025-01-01
205,VISITOR_733D7755,1,2,店铺页,,7,51,1,0,,2025-01-01
206,VISITOR_2CACDA96,1,3,店铺页,4,2,252,2,0,,2025-01-01
207,VISITOR_F68EB7E2,1,9,店铺其他页,14,4,28,2,0,,2025-01-01
208,VISITOR_88C00F32,1,11,外部页,1,8,106,3,0,,2025-01-01
209,VISITOR_2096A340,1,1,店铺页,,,158,4,0,,2025-01-01
210,VISITOR_895C3B4E,1,11,外部页,14,4,204,4,0,,2025-01-01
211,VISITOR_ED887FDB,1,5,店铺页,5,4,283,4,0,,2025-01-01
212,VISITOR_6E837E25,1,12,外部页,,,239,5,0,,2025-01-01
213,VISITOR_1175893F,1,14,功能页,1,,282,3,0,,2025-01-01
214,VISITOR_BF010F79,1,9,店铺其他页,7,9,58,2,0,,2025-01-01
215,VISITOR_8672B181,1,7,商品详情页,,,145,1,0,,2025-01-01
216,VISITOR_371D4E65,1,14,功能页,7,,176,5,0,,2025-01-01
217,VISITOR_E9F389CC,1,2,店铺页,14,,108,1,1,BUYER_0D50EF,2025-01-01
218,VISITOR_B4C4E730,1,9,店铺其他页,14,8,150,2,0,,2025-01-01
219,VISITOR_B6E33892,1,9,店铺其他页,14,,43,5,0,,2025-01-01
220,VISITOR_538C0E6F,1,12,外部页,,,35,1,0,,2025-01-01
221,VISITOR_EE31947A,1,4,店铺页,13,2,185,1,0,,2025-01-01
222,VISITOR_9FC13C39,1,11,外部页,2,,286,5,0,,2025-01-01
223,VISITOR_962BC542,1,14,功能页,2,12,288,3,0,,2025-01-01
224,VISITOR_5F96F473,1,13,功能页,,11,79,1,0,,2025-01-01
225,VISITOR_FE8A1DF3,1,3,店铺页,2,1,43,2,0,,2025-01-01
226,VISITOR_D11B6C6E,1,7,商品详情页,3,,185,2,0,,2025-01-01
227,VISITOR_A4CCBBDC,1,3,店铺页,,9,55,4,0,,2025-01-01
228,VISITOR_8CD537A3,1,13,功能页,,9,19,1,1,BUYER_5DCF38,2025-01-01
229,VISITOR_94F9DDA9,1,10,店铺其他页,2,10,27,4,0,,2025-01-01
230,VISITOR_69787F49,1,8,商品详情页,7,6,271,5,0,,2025-01-01
231,VISITOR_C7729EFE,1,3,店铺页,9,9,123,1,0,,2025-01-01
232,VISITOR_A511E9AD,1,4,店铺页,14,7,139,4,0,,2025-01-01
233,VISITOR_97F2BEC8,1,3,店铺页,,10,276,5,0,,2025-01-01
234,VISITOR_979EB44D,1,4,店铺页,4,5,221,4,0,,2025-01-01
235,VISITOR_D707F91C,1,10,店铺其他页,6,3,289,4,0,,2025-01-01
236,VISITOR_759A85A5,1,10,店铺其他页,12,,123,2,0,,2025-01-01
237,VISITOR_5084BA32,1,8,商品详情页,,7,95,3,0,,2025-01-01
238,VISITOR_C51B6C2B,1,8,商品详情页,9,10,103,2,0,,2025-01-01
239,VISITOR_CA3C1FE9,1,6,商品详情页,7,10,202,3,0,,2025-01-01
240,VISITOR_9565EE50,1,4,店铺页,1,,56,2,0,,2025-01-01
241,VISITOR_C8082BC4,1,5,店铺页,,13,253,3,0,,2025-01-01
242,VISITOR_9EDAB24A,1,5,店铺页,5,4,239,2,0,,2025-01-01
243,VISITOR_7A9BECA2,1,11,外部页,,5,234,2,0,,2025-01-01
244,VISITOR_203E63B1,1,14,功能页,1,13,276,1,1,BUYER_7A9BDA,2025-01-01
245,VISITOR_F116B0BD,1,13,功能页,3,14,266,3,0,,2025-01-01
246,VISITOR_70D9B6BB,1,3,店铺页,1,5,102,1,0,,2025-01-01
247,VISITOR_25A3D569,1,5,店铺页,,,214,2,0,,2025-01-01
248,VISITOR_60F67069,1,13,功能页,,9,238,5,0,,2025-01-01
249,VISITOR_C6952491,1,10,店铺其他页,6,1,267,2,0,,2025-01-01
250,VISITOR_B96BDF3B,1,12,外部页,8,14,224,3,0,,2025-01-01
251,VISITOR_FEA6EB4A,1,7,商品详情页,11,9,54,4,0,,2025-01-01
252,VISITOR_021EDDED,1,7,商品详情页,6,7,45,2,0,,2025-01-01
253,VISITOR_29506526,1,13,功能页,8,5,167,3,0,,2025-01-01
254,VISITOR_26B07407,1,4,店铺页,1,5,205,3,0,,2025-01-01
255,VISITOR_EFE0C46B,1,7,商品详情页,2,4,72,4,0,,2025-01-01
256,VISITOR_355A8AFF,1,6,商品详情页,,4,181,5,0,,2025-01-01
257,VISITOR_3CC0A0F9,1,9,店铺其他页,,10,132,5,0,,2025-01-01
258,VISITOR_C61FD8D2,1,4,店铺页,2,5,122,2,0,,2025-01-01
259,VISITOR_6DA8D762,1,7,商品详情页,14,11,277,1,0,,2025-01-01
260,VISITOR_C3E804D3,1,5,店铺页,,5,232,3,0,,2025-01-01
261,VISITOR_14EC6E55,1,13,功能页,2,9,126,1,0,,2025-01-01
262,VISITOR_49804379,1,4,店铺页,6,9,53,3,0,,2025-01-01
263,VISITOR_5E49FA73,1,5,店铺页,9,3,136,5,0,,2025-01-01
264,VISITOR_6C4E9828,1,1,店铺页,7,5,76,1,0,,2025-01-01
265,VISITOR_7B952842,1,3,店铺页,,9,20,1,0,,2025-01-01
266,VISITOR_B4A77E7D,1,6,商品详情页,,6,26,3,0,,2025-01-01
267,VISITOR_43ED0229,1,13,功能页,3,,211,3,0,,2025-01-01
268,VISITOR_C09DBD03,1,2,店铺页,13,8,254,1,0,,2025-01-01
269,VISITOR_026572CC,1,2,店铺页,,5,233,3,0,,2025-01-01
270,VISITOR_F8161DB0,1,13,功能页,7,,107,1,0,,2025-01-01
271,VISITOR_0F6840B0,1,10,店铺其他页,8,8,59,1,0,,2025-01-01
272,VISITOR_3585DC05,1,4,店铺页,2,3,15,3,0,,2025-01-01
273,VISITOR_54E0E896,1,9,店铺其他页,1,7,250,1,0,,2025-01-01
274,VISITOR_B1598F92,1,10,店铺其他页,,,156,3,0,,2025-01-01
275,VISITOR_863AFBBE,1,13,功能页,6,6,86,1,0,,2025-01-01
276,VISITOR_AB547C2A,1,14,功能页,13,7,136,5,0,,2025-01-01
277,VISITOR_D3663A93,1,2,店铺页,6,,153,2,0,,2025-01-01
278,VISITOR_1A60A834,1,3,店铺页,8,14,215,2,0,,2025-01-01
279,VISITOR_212EB585,1,4,店铺页,11,7,68,1,0,,2025-01-01
280,VISITOR_89249091,1,6,商品详情页,,5,50,2,0,,2025-01-01
281,VISITOR_6215B2A2,1,5,店铺页,12,8,280,3,0,,2025-01-01
282,VISITOR_CB9F9A75,1,6,商品详情页,12,5,202,1,0,,2025-01-01
283,VISITOR_262D303D,1,2,店铺页,9,14,267,3,0,,2025-01-01
284,VISITOR_7B68A064,1,11,外部页,,12,59,1,0,,2025-01-01
285,VISITOR_3B43475B,1,7,商品详情页,10,7,20,2,0,,2025-01-01
286,VISITOR_A5200F45,1,9,店铺其他页,7,13,257,4,0,,2025-01-01
287,VISITOR_CD71A767,1,12,外部页,,2,277,4,0,,2025-01-01
288,VISITOR_B9446C4A,1,9,店铺其他页,12,1,120,1,1,BUYER_B5DFB3,2025-01-01
289,VISITOR_BB5876E9,1,13,功能页,1,,275,4,0,,2025-01-01
290,VISITOR_F3DFB645,1,2,店铺页,9,5,35,5,0,,2025-01-01
291,VISITOR_C158FC4C,1,13,功能页,14,5,155,5,0,,2025-01-01
292,VISITOR_C6726E67,1,12,外部页,,6,203,1,0,,2025-01-01
293,VISITOR_4B226616,1,11,外部页,,14,228,1,0,,2025-01-01
294,VISITOR_CA039D18,1,5,店铺页,,6,67,5,0,,2025-01-01
295,VISITOR_B68D767F,1,6,商品详情页,4,10,183,2,0,,2025-01-01
296,VISITOR_4568B733,1,1,店铺页,,12,230,3,0,,2025-01-01
297,VISITOR_9C41242A,1,10,店铺其他页,,12,23,1,0,,2025-01-01
298,VISITOR_A18AA32F,1,8,商品详情页,7,13,150,1,0,,2025-01-01
299,VISITOR_A86A73B3,1,9,店铺其他页,6,4,257,3,0,,2025-01-01
300,VISITOR_BE9DF56E,1,10,店铺其他页,,,64,2,0,,2025-01-01
301,VISITOR_D9275E39,1,9,店铺其他页,,2,54,4,0,,2025-01-01
302,VISITOR_353081E6,1,1,店铺页,6,8,21,1,0,,2025-01-01
303,VISITOR_CB55E7C8,1,11,外部页,10,,240,1,0,,2025-01-01
304,VISITOR_800FB1CF,1,3,店铺页,7,,228,4,0,,2025-01-01
305,VISITOR_4709E0C6,1,9,店铺其他页,12,7,165,2,0,,2025-01-01
306,VISITOR_7D926754,1,7,商品详情页,7,2,12,3,0,,2025-01-01
307,VISITOR_66E7A6D4,1,3,店铺页,14,10,68,3,0,,2025-01-01
308,VISITOR_15917F3B,1,10,店铺其他页,12,6,122,1,0,,2025-01-01
309,VISITOR_8F770F43,1,7,商品详情页,11,6,294,2,0,,2025-01-01
310,VISITOR_7D01AD45,1,4,店铺页,1,6,168,1,0,,2025-01-01
311,VISITOR_4933B950,1,5,店铺页,,10,279,1,0,,2025-01-01
312,VISITOR_EFEC0F60,1,8,商品详情页,2,10,65,1,0,,2025-01-01
313,VISITOR_A289F415,1,14,功能页,5,5,292,3,0,,2025-01-01
314,VISITOR_A56B1FA8,1,4,店铺页,,7,220,2,0,,2025-01-01
315,VISITOR_C603F1F5,1,6,商品详情页,2,3,132,4,0,,2025-01-01
316,VISITOR_D5327078,1,3,店铺页,10,5,209,1,0,,2025-01-01
317,VISITOR_57ED71B8,1,4,店铺页,9,7,162,3,0,,2025-01-01
318,VISITOR_AFE97AE4,1,5,店铺页,12,10,10,2,0,,2025-01-01
319,VISITOR_09EC821B,1,6,商品详情页,,8,280,1,0,,2025-01-01
320,VISITOR_C00A4CDB,1,10,店铺其他页,,3,191,4,0,,2025-01-01
321,VISITOR_30975162,1,9,店铺其他页,6,14,213,1,0,,2025-01-01
322,VISITOR_17DBD165,1,2,店铺页,,6,132,5,0,,2025-01-01
323,VISITOR_41B1A129,1,11,外部页,4,14,112,3,0,,2025-01-01
324,VISITOR_6AD25F25,1,11,外部页,,12,31,1,0,,2025-01-01
325,VISITOR_75000718,1,1,店铺页,13,,149,5,0,,2025-01-01
326,VISITOR_164D94B1,1,6,商品详情页,12,2,283,3,0,,2025-01-01
327,VISITOR_5680DCCF,1,1,店铺页,2,12,166,4,0,,2025-01-01
328,VISITOR_51632B5E,1,4,店铺页,8,9,293,1,1,BUYER_8EE96F,2025-01-01
329,VISITOR_456EB183,1,12,外部页,12,10,62,4,0,,2025-01-01
330,VISITOR_24605F1C,1,12,外部页,7,3,205,5,0,,2025-01-01
331,VISITOR_4F276FE4,1,1,店铺页,3,13,52,3,0,,2025-01-01
